,0
0,-0.145
1,-0.145
2,-0.145
3,-0.145
4,-0.145
5,-0.145
6,-0.145
7,-0.145
8,-0.12
9,-0.135
10,-0.145
11,-0.15
12,-0.16
13,-0.155
14,-0.16
15,-0.175
16,-0.18
17,-0.185
18,-0.17
19,-0.155
20,-0.175
21,-0.18
22,-0.19
23,-0.18
24,-0.155
25,-0.135
26,-0.155
27,-0.19
28,-0.205
29,-0.235
30,-0.225
31,-0.245
32,-0.25
33,-0.26
34,-0.275
35,-0.275
36,-0.275
37,-0.265
38,-0.255
39,-0.265
40,-0.275
41,-0.29
42,-0.29
43,-0.29
44,-0.29
45,-0.285
46,-0.295
47,-0.305
48,-0.285
49,-0.275
50,-0.275
51,-0.28
52,-0.285
53,-0.305
54,-0.29
55,-0.3
56,-0.28
57,-0.29
58,-0.3
59,-0.315
60,-0.32
61,-0.335
62,-0.36
63,-0.385
64,-0.385
65,-0.405
66,-0.455
67,-0.485
68,-0.485
69,-0.425
70,-0.33
71,-0.22
72,-0.07
73,0.12
74,0.375
75,0.62
76,0.78
77,0.84
78,0.765
79,0.52
80,0.17
81,-0.165
82,-0.365
83,-0.435
84,-0.425
85,-0.37
86,-0.33
87,-0.325
88,-0.335
89,-0.345
90,-0.33
91,-0.325
92,-0.315
93,-0.31
94,-0.32
95,-0.335
96,-0.34
97,-0.325
98,-0.345
99,-0.335
100,-0.33
101,-0.335
102,-0.33
103,-0.325
104,-0.33
105,-0.33
106,-0.345
107,-0.355
108,-0.335
109,-0.325
110,-0.305
111,-0.32
112,-0.32
113,-0.33
114,-0.34
115,-0.335
116,-0.34
117,-0.345
118,-0.355
119,-0.355
120,-0.34
121,-0.33
122,-0.33
123,-0.33
124,-0.34
125,-0.35
126,-0.325
127,-0.325
128,-0.33
129,-0.33
130,-0.335
131,-0.335
132,-0.34
133,-0.33
134,-0.34
135,-0.35
136,-0.355
137,-0.35
138,-0.345
139,-0.33
140,-0.32
141,-0.335
142,-0.33
143,-0.345
144,-0.33
145,-0.335
146,-0.335
147,-0.345
148,-0.345
149,-0.355
150,-0.34
151,-0.34
152,-0.335
153,-0.33
154,-0.35
155,-0.35
156,-0.345
157,-0.335
158,-0.335
159,-0.335
160,-0.35
161,-0.355
162,-0.355
163,-0.345
164,-0.345
165,-0.335
166,-0.35
167,-0.36
168,-0.36
169,-0.36
170,-0.365
171,-0.36
172,-0.37
173,-0.385
174,-0.37
175,-0.36
176,-0.355
177,-0.36
178,-0.375
179,-0.375
180,-0.365
181,-0.365
182,-0.36
183,-0.36
184,-0.365
185,-0.37
186,-0.355
187,-0.33
188,-0.325
189,-0.325
190,-0.335
191,-0.34
192,-0.315
193,-0.3
194,-0.3
195,-0.29
196,-0.295
197,-0.29
198,-0.285
199,-0.275
200,-0.255
201,-0.25
202,-0.25
203,-0.265
204,-0.255
205,-0.245
206,-0.23
207,-0.245
208,-0.245
209,-0.255
210,-0.255
211,-0.24
212,-0.25
213,-0.255
214,-0.245
215,-0.255
216,-0.25
217,-0.25
218,-0.265
219,-0.26
220,-0.26
221,-0.265
222,-0.27
223,-0.265
224,-0.26
225,-0.275
226,-0.28
227,-0.29
228,-0.275
229,-0.27
230,-0.26
231,-0.28
232,-0.28
233,-0.285
234,-0.275
235,-0.275
236,-0.265
237,-0.27
238,-0.285
239,-0.29
240,-0.28
241,-0.275
242,-0.285
243,-0.28
244,-0.3
245,-0.3
246,-0.305
247,-0.295
248,-0.3
249,-0.31
250,-0.31
251,-0.305
252,-0.295
253,-0.285
254,-0.285
255,-0.29
256,-0.295
257,-0.31
258,-0.29
259,-0.295
260,-0.3
261,-0.305
262,-0.31
263,-0.325
264,-0.31
265,-0.3
266,-0.29
267,-0.31
268,-0.325
269,-0.33
270,-0.315
271,-0.3
272,-0.305
273,-0.31
274,-0.32
275,-0.33
276,-0.325
277,-0.315
278,-0.31
279,-0.305
280,-0.305
281,-0.31
282,-0.3
283,-0.305
284,-0.29
285,-0.3
286,-0.3
287,-0.305
288,-0.305
289,-0.29
290,-0.28
291,-0.295
292,-0.305
293,-0.315
294,-0.305
295,-0.295
296,-0.29
297,-0.28
298,-0.27
299,-0.275
300,-0.275
301,-0.27
302,-0.25
303,-0.25
304,-0.255
305,-0.225
